"team_long_name" "team_api_id" "buildUpPlay_attributes" "chanceCreation_attributes" "defence_attributes" "goals"
"41" "Podbeskidzie Bielsko-Biała" 8033 193 166 152 169
"42" "Inverness Caledonian Thistle" 8066 169 174 139 345
"43" "Angers SCO" 8121 159 180 140 40
"44" "FC St. Pauli" 8152 161 190 185 35
"45" "1. FC Nürnberg" 8165 153 180 162 193
"46" "Hertha BSC Berlin" 8177 175 172 155 238
"47" "Bayer 04 Leverkusen" 8178 157 210 200 483
"48" "Burnley" 8191 154 210 205 70
"49" "Fortuna Düsseldorf" 8194 198 190 169 39
"50" "Leicester City" 8197 164 185 210 114
"51" "KV Mechelen" 8203 134 150 190 285
"52" "TSG 1899 Hoffenheim" 8226 180 191 200 400
"53" "FC Ingolstadt 04" 8234 160 151 140 33
"54" "Odra Wodzisław" 8242 NA 155 205 50
"55" "Widzew Łódź" 8244 190 185 158 50
"56" "Korona Kielce" 8245 192 169 172 237
"57" "SV Darmstadt 98" 8262 179 174 129 38
"58" "Vitesse" 8277 145 173 180 423
"59" "Dundee FC" 8284 142 158 154 127
"60" "Karlsruher SC" 8295 164 205 170 30
"61" "Sevilla FC" 8302 183 206 195 478
"62" "Getafe CF" 8305 117 155 164 345
"63" "UD Las Palmas" 8306 147 187 171 45
"64" "Athletic Club de Bilbao" 8315 131 184 170 415
"65" "Arka Gdynia" 8322 NA 150 205 77
"66" "Club Brugge KV" 8342 139 170 200 421
"67" "Cardiff City" 8344 168 210 210 32
"68" "Moreirense FC" 8348 139 144 138 101
"69" "1. FC Kaiserslautern" 8350 167 185 210 72
"70" "SpVgg Greuther Fürth" 8357 167 170 170 26
"71" "SC Freiburg" 8358 151 160 158 245
"72" "Rayo Vallecano" 8370 141 161 178 247
"73" "CA Osasuna" 8371 143 193 177 232
"74" "SD Eibar" 8372 165 179 142 83
"75" "CD Numancia" 8388 137 160 158 38
"76" "Real Zaragoza" 8394 154 166 158 159
"77" "FC Energie Cottbus" 8398 126 175 206 30
"78" "FC Augsburg" 8406 169 188 161 201
"79" "Partick Thistle F.C." 8426 143 160 143 135
"80" "Hamilton Academical FC" 8429 143 200 195 185
"81" "Chelsea" 8455 157 200 168 583
"82" "Manchester City" 8456 123 210 180 606
"83" "Dunfermline Athletic" 8457 NA 168 148 40
"84" "SC Paderborn 07" 8460 175 168 145 31
"85" "Portsmouth" 8462 148 195 150 72
"86" "N.E.C." 8464 150 158 146 310
"87" "Southampton" 8466 129 205 210 216
"88" "St. Johnstone FC" 8467 162 150 142 308
"89" "Sunderland" 8472 154 195 165 333
"90" "Waasland-Beveren" 8475 132 140 114 105
"91" "RC Recreativo" 8479 148 140 151 34
"92" "AS Nancy-Lorraine" 8481 146 172 210 203
"93" "Blackpool" 8483 183 205 210 55
"94" "Aberdeen" 8485 184 210 200 365
"95" "Stade Brestois 29" 8521 161 168 210 99
"96" "Atalanta" 8524 146 170 165 283
"97" "Willem II" 8525 150 166 153 222
"98" "De Graafschap" 8526 NA 153 137 130
"99" "Wigan Athletic" 8528 144 190 165 200
"100" "Cagliari" 8529 167 196 187 309
"101" "Catania" 8530 175 178 147 251
"102" "Chievo Verona" 8533 187 170 165 285
"103" "Empoli" 8534 145 186 164 86
"104" "Fiorentina" 8535 121 172 184 440
"105" "Livorno" 8537 183 172 163 66
"106" "Palermo" 8540 168 165 152 351
"107" "Lazio" 8543 188 220 190 417
"108" "Rangers" 8548 153 210 200 324
"109" "Middlesbrough" 8549 144 190 147 28
"110" "FC Metz" 8550 152 175 150 31
"111" "Siena" 8551 144 183 160 149
"112" "RCD Espanyol" 8558 146 196 180 338
"113" "Bolton Wanderers" 8559 167 185 154 181
"114" "Real Sociedad" 8560 162 171 171 316
"115" "Milan" 8564 170 177 164 496
"116" "GKS Bełchatów" 8569 143 175 200 190
"117" "KV Kortrijk" 8571 129 159 185 267
"118" "KV Oostende" 8573 155 140 133 102
"119" "AC Ajaccio" 8576 168 180 140 116
"120" "Levante UD" 8581 171 182 155 241
"121" "AJ Auxerre" 8583 168 164 145 168
"122" "Tottenham Hotspur" 8586 133 210 181 481
"123" "RC Lens" 8588 165 180 200 107
"124" "Olympique de Marseille" 8592 169 210 200 462
"125" "Ajax" 8593 117 199 193 647
"126" "Falkirk" 8596 NA 200 200 68
"127" "Kilmarnock" 8597 167 205 200 346
"128" "Udinese" 8600 205 199 160 415
"129" "Wolverhampton Wanderers" 8602 136 210 210 118
"130" "Real Betis Balompié" 8603 145 206 165 225
"131" "FC Twente" 8611 131 172 197 509
"132" "Boavista FC" 8613 153 128 148 51
"133" "Sparta Rotterdam" 8614 NA 140 90 76
"134" "Real Madrid CF" 8633 153 200 178 843
"135" "FC Barcelona" 8634 122 175 195 849
"136" "RSC Anderlecht" 8635 149 182 190 427
"137" "Inter" 8636 182 203 165 496
"138" "LOSC Lille" 8639 152 184 180 450
"139" "PSV" 8640 153 200 167 652
"140" "Ross County FC" 8649 153 153 143 192
"141" "Liverpool" 8650 171 180 172 531
"142" "West Ham United" 8654 184 171 140 326
"143" "Blackburn Rovers" 8655 185 185 160 175
"144" "Birmingham City" 8658 174 210 210 75
"145" "West Bromwich Albion" 8659 145 195 210 305
"146" "RCD Mallorca" 8661 172 163 156 238
"147" "Hull City" 8667 151 195 210 144
"148" "Everton" 8668 137 180 180 439
"149" "Legia Warszawa" 8673 141 170 195 409
"150" "FC Groningen" 8674 142 177 149 390
"151" "Bournemouth" 8678 139 200 210 45
"152" "Le Mans FC" 8682 NA 195 200 79
"153" "Roma" 8686 153 208 155 530
"154" "FC Lorient" 8689 158 180 200 378
"155" "Reggio Calabria" 8690 163 186 140 30
"156" "Racing Santander" 8696 147 205 168 160
"157" "SV Werder Bremen" 8697 174 216 205 423
"158" "VfL Wolfsburg" 8721 170 210 171 463
"159" "1. FC Köln" 8722 171 165 170 226
"160" "Le Havre AC" 9746 154 180 168 30
"161" "En Avant de Guingamp" 9747 169 170 145 122
"162" "Olympique Lyonnais" 9748 161 185 200 497
"163" "NAC Breda" 9761 153 141 143 294
"164" "Gil Vicente FC" 9764 176 152 149 110
"165" "Sporting CP" 9768 178 204 174 411
"166" "União de Leiria, SAD" 9771 NA 150 154 85
"167" "SL Benfica" 9772 178 185 175 568
"168" "FC Porto" 9773 173 196 178 541
"169" "Eintracht Braunschweig" 9776 183 195 157 29
"170" "Servette FC" 9777 NA 175 170 77
"171" "RC Deportivo de La Coruña" 9783 157 187 154 241
"172" "Borussia Mönchengladbach" 9788 116 185 160 403
"173" "Borussia Dortmund" 9789 170 194 178 551
"174" "Hamburger SV" 9790 164 200 175 344
"175" "Heracles Almelo" 9791 147 173 169 403
"176" "Reading" 9798 144 210 200 43
"177" "St. Mirren" 9800 178 210 200 257
"178" "Roda JC Kerkrade" 9803 133 159 146 343
"179" "Torino" 9804 209 189 145 241
"180" "CF Os Belenenses" 9807 157 160 135 148
"181" "Naval 1° de Maio" 9809 NA 165 121 71
"182" "Eintracht Frankfurt" 9810 153 165 151 296
"183" "Watford" 9817 160 205 205 40
"184" "FC Bayern Munich" 9823 97 205 184 653
"185" "FC Vaduz" 9824 141 137 133 100
"186" "Arsenal" 9825 140 150 170 573
"187" "Crystal Palace" 9826 173 205 185 119
"188" "Girondins de Bordeaux" 9827 139 190 195 404
"189" "AS Monaco" 9829 168 165 205 287
"190" "FC Nantes" 9830 189 160 152 135
"191" "OGC Nice" 9831 175 165 210 342
"192" "Dijon FCO" 9836 154 165 149 38
"193" "Stade de Reims" 9837 154 165 140 168
"194" "VVV-Venlo" 9839 NA 164 155 152
"195" "Paris Saint-Germain" 9847 174 191 210 568
"196" "Norwich City" 9850 138 195 200 160
"197" "Stade Rennais FC" 9851 167 195 210 367
"198" "AS Saint-Étienne" 9853 165 175 148 371
"199" "Grenoble Foot 38" 9855 NA 195 195 55
"200" "Bologna" 9857 164 175 135 263
"201" "Brescia" 9858 141 180 155 34
"202" "Heart of Midlothian" 9860 168 210 200 317
"203" "Málaga CF" 9864 129 191 164 377
"204" "UD Almería" 9865 152 180 193 202
"205" "CD Tenerife" 9867 163 180 174 40
"206" "Xerez Club Deportivo" 9868 NA 159 165 38
"207" "Real Sporting de Gijón" 9869 153 185 195 200
"208" "Valenciennes FC" 9873 160 188 155 256
"209" "FC Sochaux-Montbéliard" 9874 164 184 165 246
"210" "Napoli" 9875 180 215 165 514
"211" "Hellas Verona" 9876 157 173 169 145
"212" "Pescara" 9878 152 180 145 27
"213" "Fulham" 9879 142 190 138 265
"214" "Cesena" 9880 143 170 145 98
"215" "Sampdoria" 9882 130 180 175 318
"216" "Juventus" 9885 105 195 169 543
"217" "Lecce" 9888 NA 175 165 121
"218" "Frosinone" 9891 157 156 193 35
"219" "Hannover 96" 9904 144 175 210 359
"220" "1. FSV Mainz 05" 9905 178 185 170 320
"221" "Atlético Madrid" 9906 157 206 160 524
"222" "FC Utrecht" 9908 152 182 159 408
"223" "RC Celta de Vigo" 9910 169 179 169 184
"224" "VfL Bochum" 9911 164 172 172 72
"225" "DSC Arminia Bielefeld" 9912 166 165 138 29
"226" "Celtic" 9925 180 205 200 695
"227" "Motherwell" 9927 172 205 200 403
"228" "FC Aarau" 9930 156 181 150 153
"229" "FC Basel" 9931 170 186 180 619
"230" "Dundee United" 9938 171 205 200 438
"231" "Toulouse FC" 9941 158 165 140 339
"232" "Grasshopper Club Zürich" 9956 164 184 160 429
"233" "Bari" 9976 157 193 161 76
"234" "KSV Cercle Brugge" 9984 145 200 195 213
"235" "Standard de Liège" 9985 161 182 205 341
"236" "Sporting Charleroi" 9986 160 148 210 201
"237" "KRC Genk" 9987 148 182 205 348
"238" "Lierse SK" 9989 171 169 159 113
"239" "KAA Gent" 9991 142 184 166 390
"240" "Beerschot AC" 9993 NA 185 210 174
"241" "Sporting Lokeren" 9994 159 154 200 279
"242" "Royal Excel Mouscron" 9996 150 150 140 42
"243" "Sint-Truidense VV" 9997 NA 154 150 115
"244" "RAEC Mons" 9998 160 168 138 129
"245" "KSV Roeselare" 9999 NA 125 205 62
"246" "SV Zulte-Waregem" 10000 147 153 200 306
"247" "KVC Westerlo" 10001 148 167 210 217
"248" "Swansea City" 10003 131 210 210 233
"249" "Parma" 10167 152 176 166 272
"250" "Queens Park Rangers" 10172 141 210 210 115
