"player_name" "player_api_id" "overall_rating" "gk_attributes" "num_appearances" "num_leagues"
"124" "Florent Ghisolfi" 11317 64 139 4 1
"125" "Benoit Costil" 11319 81 407 181 1
"126" "Steeve Elana" 11320 76 374 95 1
"127" "Vincent Plante" 11321 74 369 53 1
"128" "Cedric Hengbart" 11323 78 119 149 1
"129" "Nicolas Seube" 11324 72 130 141 1
"130" "Anthony Deroin" 11327 71 139 26 1
"131" "Reynald Lemaitre" 11329 70 140 132 1
"132" "Yohann Eudeline" 11332 70 132 2 1
"133" "Rudy Riou" 11336 71 357 69 2
"134" "Jose Gaspar" 11349 68 113 92 1
"135" "Olafur Ingi Skulason" 11357 70 128 41 1
"136" "Wade Elliott" 11496 74 145 34 1
"137" "Stuart Nelson" 11498 65 328 3 1
"138" "Fernando Soriano" 11555 74 150 110 1
"139" "Avi Strool" 11569 67 141 28 1
"140" "Tamir Cohen" 11576 73 155 32 1
"141" "Gael Genevier" 11671 69 161 4 1
"142" "Antonio Candreva" 11685 83 156 197 1
"143" "Pedro Roma" 11716 72 352 2 1
"144" "Nuno Piloto" 11726 69 58 94 1
"145" "Tininho" 11734 57 111 11 1
"146" "Antolin Alcaraz" 11736 74 140 116 3
"147" "Artur" 11743 74 58 128 1
"148" "Pedro Alves" 11746 66 329 2 1
"149" "Alessandro Mangiarrati" 11747 60 120 56 1
"150" "Marco Paulo" 11752 64 131 2 1
"151" "Ruben Amorim" 11754 77 150 65 1
"152" "Eliseu" 11758 78 139 203 2
"153" "Carlos Milhazes,22" 11759 68 141 22 1
"154" "Jorge Baptista" 11760 65 316 5 1
"155" "Roversio" 11778 73 128 26 1
"156" "Rui Baiao,22" 11788 65 133 22 1
"157" "Ferreira" 11795 61 126 12 1
"158" "Briguel" 11796 66 112 103 1
"159" "Zeca" 11798 75 48 13 1
"160" "Luis Olim" 11801 65 126 39 1
"161" "Fernando Cardozo" 11827 69 136 25 1
"162" "Bruno Patacas" 11829 70 136 52 1
"163" "de Oliveira Cleber Monteiro" 11833 69 131 64 1
"164" "Marcelo Pereira Bruno" 11836 68 139 29 1
"165" "Miguel Fidalgo" 11840 68 131 24 1
"166" "Pedro Moreira" 11849 69 63 52 1
"167" "Nuno Silva" 11851 68 126 33 1
"168" "Jose Manuel Ze Gomes" 11860 67 139 59 1
"169" "Bruno Mendes" 11861 66 129 11 1
"170" "Danielson" 11863 71 111 175 1
"171" "Ferreira Delson,28" 11865 65 136 28 1
"172" "Laranjeiro" 11876 68 149 26 1
"173" "Flavio Meireles" 11897 70 134 28 1
"174" "Ricardo Pessoa" 11901 65 59 52 1
"175" "Ersen Martin" 12005 75 140 1 1
"176" "Marcel MBayo,25" 12099 66 121 25 1
"177" "Tomas Kosicky" 12209 66 330 7 1
"178" "Adam Nemec" 12245 70 121 12 3
"179" "Stanislav Sestak" 12246 77 122 50 1
"180" "Robert Demjan" 12283 68 101 97 2
"181" "Jan Durica" 12288 75 121 8 1
"182" "Miroslav Bozok" 12307 63 43 96 1
"183" "Rudolf Urban" 12310 57 40 8 1
"184" "Dusan Pernis" 12318 70 351 106 2
"185" "Dalibor Pleva" 12320 60 47 23 1
"186" "Matej Izvolt" 12327 62 52 33 1
"187" "Peter Pekarik" 12330 76 134 114 1
"188" "Richard Zajac,28" 12340 67 342 73 1
"189" "Kamil Kopunek" 12371 65 42 4 1
"190" "Pavol Stano" 12374 66 122 179 1
"191" "Jan Slovenciak" 12381 59 291 1 1
"192" "Krisztian Nemeth" 12386 71 101 52 1
"193" "Elvedin Dzinic" 12405 66 114 27 2
"194" "Dragan Jelic" 12418 64 54 3 1
"195" "Jure Travner" 12431 65 142 35 1
"196" "Branko Ilic" 12454 69 138 1 1
"197" "Marko Suler" 12473 72 121 65 2
"198" "Zlatan Ljubijankic" 12574 72 146 65 1
"199" "Kanu" 12692 71 137 40 1
"200" "Nicolae Ovidiu Herea" 12763 69 60 25 1
"201" "Cristian Sapunaru" 12766 77 132 80 2
"202" "Christos Karypidis" 12985 66 126 34 1
"203" "Orestis Karnezis" 13033 79 391 81 2
"204" "Michalis Sifakis" 13034 76 377 7 1
"205" "Tomislav Pacovski" 13131 68 330 70 1
"206" "Ioannis Maniatis" 13191 75 51 3 1
"207" "Fabian Pawela" 13225 62 53 29 1
"208" "Kamil Kuzera" 13301 65 109 46 1
"209" "Krzysztof Kotorowski" 13320 66 332 70 1
"210" "Pawel Sasin" 13327 64 125 41 1
"211" "Blazej Telichowski" 13329 62 131 99 1
"212" "Lukasz Madej" 13334 68 147 140 2
"213" "Pawel Kieszek" 13345 75 374 143 2
"214" "Antoni Lukasiewicz" 13349 68 129 77 1
"215" "Wojciech Szymanek" 13350 61 53 32 1
"216" "Jakub Rzezniczak" 13376 70 126 142 1
"217" "Maciej Korzym" 13383 67 114 127 1
"218" "Wojciech Skaba" 13390 63 312 60 1
"219" "Marcin Malinowski" 13405 65 116 158 1
"220" "Mariusz Zganiacz" 13410 71 51 39 1
"221" "Marcin Wasilewski" 13423 72 139 84 2
"222" "Wahan Gevorgyan" 13425 63 53 34 1
"223" "Slawomir Peszko" 13428 75 132 117 2
"224" "Krzysztof Pilarz" 13436 67 360 125 1
"225" "Piotr Celeban" 13437 72 106 155 1
"226" "Lukasz Tralka" 13449 70 126 189 1
"227" "Sebastian Przyrowski" 13454 65 319 94 1
"228" "Radoslaw Cierzniak" 13471 66 331 149 2
"229" "Arkadiusz Malarz" 13472 65 325 36 1
"230" "Maciej Mielcarz" 13473 66 329 90 1
"231" "Jaroslaw Bieniuk" 13474 67 57 78 1
"232" "Dawid Kucharski" 13476 64 135 10 1
"233" "Tomasz Lisowski" 13477 69 48 82 1
"234" "Grzegorz Wojtkowiak" 13480 72 139 85 1
"235" "Hubert Wolakiewicz" 13481 68 136 153 1
"236" "Filip Burkhardt" 13483 59 131 28 1
"237" "Marcin Kikut" 13486 70 133 68 1
"238" "Szymon Sawala" 13490 61 129 83 1
"239" "Jakub Szmatula" 13494 66 337 48 1
"240" "Mateusz Zytko" 13504 60 62 96 1
"241" "Pawel Strak" 13513 70 87 45 1
"242" "Lukasz Mierzejewski" 13515 63 123 90 1
"243" "Lukasz Piszczek" 13518 83 146 175 1
"244" "Piotr Polczak" 13533 67 115 90 1
"245" "Dawid Plizga" 13538 68 112 108 1
"246" "Vejlko Nikitovic" 13549 61 70 22 1
"247" "Tomasz Brzyski" 13551 69 136 170 1
"248" "Mariusz Pawelec" 13554 66 144 144 1
"249" "Dawid Soldecki" 13557 61 53 26 1
"250" "Liam Kelly" 13917 68 113 95 1
"251" "Paul Dixon" 14039 71 132 160 1
"252" "Alan Mannus" 14100 69 341 156 1
"253" "Roei Dayan" 14487 68 52 14 1
"254" "Maor Melikson" 14521 76 54 81 2
"255" "Gal Alberman" 14533 72 156 14 1
"256" "Dekel Keinan" 14551 66 44 3 1
"257" "Lior Rafaelov" 14557 78 52 63 1
"258" "Eden Ben Basat" 14560 73 52 55 1
"259" "Eliran Atar" 14593 72 46 11 1
"260" "Yoav Ziv" 14642 67 133 28 1
"261" "Vladimir Dvalishvili" 14658 69 55 58 1
"262" "Jasmin Buric" 15361 71 348 101 1
"263" "Edin Dzeko" 15403 85 129 174 3
"264" "Veldin Muharemovic" 15425 57 119 3 1
"265" "Josip Barisic" 15456 59 118 4 1
"266" "Amir Spahic" 15608 60 115 62 1
"267" "Ivica Dzidic" 15652 56 120 1 1
"268" "Davor Landeka" 15661 58 66 6 1
"269" "Sulejman Smajic" 15662 69 125 29 1
"270" "Ivan Radovanovic" 15732 73 129 113 1
"271" "Stanley Aborah" 15905 66 62 6 1
"272" "Dimitrija Lazarevski" 15913 59 116 2 1
"273" "Jovan Kostovski" 15938 66 69 11 1
"274" "Boban Bajkovic" 16199 68 344 22 1
"275" "Marko Perovic" 16210 70 148 4 1
"276" "Simon Vukcevic" 16218 79 150 33 2
"277" "Milan Smiljanic" 16230 71 116 11 1
"278" "Dusan Veskovac" 16254 70 115 158 2
"279" "Branko Lazarevic" 16292 66 53 4 1
"280" "Gojko Kacar" 16300 78 145 88 1
"281" "Nikola Nikezic" 16323 63 120 2 1
"282" "Aleksandar Kolarov" 16351 79 154 157 2
"283" "Andjelko Djuricic" 16362 68 344 27 1
"284" "Savo Pavicevic" 16368 67 129 17 1
"285" "Mladen Lazarevic" 16387 61 127 20 1
"286" "Ivan Stevanovic" 16428 65 46 5 1
"287" "Nikola Vukcevic" 16475 73 67 15 1
"288" "Pavle Ninkov" 16493 71 62 76 1
"289" "Konstantin Vassiljev" 16511 71 56 37 1
"290" "Mikhail Sivakov" 16636 68 145 14 2
"291" "Anton Putsila" 16678 73 160 37 1
"292" "Zlatko Janjic" 17233 66 90 1 1
"293" "Marnix Kolder" 17259 65 51 46 1
"294" "Aloys Nong" 17276 70 111 69 1
"295" "Claude Gnakpa" 17296 58 72 2 1
"296" "Carlos Carmona" 17299 72 138 16 1
"297" "Anther Yahia" 17312 76 137 49 1
"298" "Kenny Deuchar" 17319 65 118 28 1
"299" "David Barron" 17343 62 127 63 1
"300" "Iain Davidson" 17361 61 43 43 1
"301" "Andy Jackson" 17391 63 125 10 1
"302" "Martin Canning" 17480 65 118 113 1
"303" "Jim McAlister" 17525 64 57 87 1
"304" "Chris Millar" 17528 63 129 191 1
"305" "Gavin Skelton" 17568 63 124 50 1
"306" "Darren McGregor" 17600 68 54 80 1
"307" "Liam Buchanan" 17606 61 59 14 1
"308" "Stuart Kettlewell" 17620 63 41 41 1
"309" "Jeremy Perbet" 17703 73 143 84 2
"310" "Gareth Wardlaw" 17711 62 56 16 1
"311" "Iain Vigurs" 17749 68 58 116 1
"312" "Jacob Mulenga" 17761 72 104 79 1
"313" "Ghislain Gimbert" 17762 69 120 5 1
"314" "Nassim Akrour" 17806 70 136 50 1
"315" "Angelo" 17836 72 90 50 1
"316" "Robert Braber" 17848 67 54 97 1
"317" "Edouard Duplan" 17855 72 137 157 1
"318" "Andrew Reid" 17866 78 153 40 1
"319" "Dusan Kuciak" 17869 72 358 117 1
"320" "Jordan Loties" 17875 74 135 117 2
"321" "Emanuel Obiora Odita,19" 17883 65 120 19 1
"322" "Matt Done" 17887 64 135 6 1
"323" "Mariano Pavone" 18164 77 126 8 1
"324" "Matias Fritzler" 18376 68 51 22 1
"325" "Diego Valeri" 18384 78 148 4 2
"326" "Leandro Gioda,28" 18388 73 111 28 1
"327" "Marcos Aguirre" 18395 73 107 5 1
"328" "Pablo Javier Perez" 18483 78 62 6 1
"329" "Maximiliano Pellegrino" 18500 77 127 35 1
"330" "Hernan Pellerano" 18501 74 136 67 1
"331" "Mauro Zarate" 18506 84 143 119 2
"332" "Jose Sosa" 18518 82 142 22 3
"333" "Marcos Angeleri" 18520 76 48 59 1
"334" "Jose Maria Basanta" 18521 78 143 23 1
"335" "Loic Loval-Landre" 18533 67 149 13 1
"336" "Jose Ze Pedro" 18548 74 149 57 1
"337" "Tiago Targino" 18549 73 142 55 1
"338" "Ferreira de Matos Alonso" 18552 71 137 55 1
"339" "Nicolas Navarro" 18558 75 375 18 1
"340" "Lucas Barrios" 18576 83 123 92 2
"341" "Cristian Llama" 18590 75 149 32 1
"342" "Roman Martinez" 18592 70 104 37 1
"343" "Marco Ruben" 18628 76 135 73 2
"344" "Pablo Barzola" 18636 66 134 44 1
"345" "Federico Almerares" 18644 66 140 25 1
"346" "Jose Gustavo Sand" 18653 72 65 2 1
"347" "Christian Fernandez" 18664 72 142 67 1
"348" "Gustavo Cabral" 18673 77 120 130 1
"349" "Jesus Datolo" 18705 77 156 14 2
"350" "Pablo Barrientos" 18733 79 151 73 1
"351" "Dario Cvitanich" 18734 77 150 74 2
"352" "Emiliano Daniel Armenteros" 18784 75 146 89 1
"353" "Fernando Gago" 18814 80 157 74 2
"354" "Pablo Martin Ledesma" 18816 78 205 54 1
"355" "Ezequiel Scarione" 18820 76 58 78 1
"356" "Matias Silvestre" 18823 80 144 194 1
"357" "Jonathan Bottinelli" 18848 73 44 5 1
"358" "Claudio Morel" 18853 73 181 14 1
"359" "Mauro Boselli" 18859 74 48 12 2
"360" "Nicolas Federico Spolli" 18880 80 138 133 1
"361" "David Abraham" 18904 77 124 164 3
"362" "Juan Eduardo Eluchans" 18913 70 122 16 1
"363" "Carlos Matheu" 18923 71 46 14 1
"364" "Ezequiel Lavezzi" 18925 86 130 179 2
"365" "Santiago Gentiletti" 18945 77 55 38 2
"366" "Dante Adrian Senger" 19000 61 52 35 1
"367" "Guillaume Ducatel" 19014 60 126 19 1
"368" "Christopher Samba" 19020 79 132 124 1
"369" "Rafael Miranda" 19232 74 126 91 1
"370" "Diego Costa" 19243 86 118 169 2
"371" "Danilo" 19249 81 126 174 1
